Date,Product ID,Price ($),Tax ($),Total Price Paid by Client ($),Quantity Ordered,Country
2023-02-24,P1013,407.58,40.76,448.34,95,USA
2023-02-24,P1014,377.67,37.77,415.44,51,USA
2023-02-24,P1015,101.24,10.12,111.36,94,Canada
2023-02-24,P1016,223.56,22.36,245.92,99,Canada
2023-02-24,P1017,268.03,26.8,294.83,90,Canada
2023-02-24,P1018,417.15,41.72,458.87,76,Australia
2023-02-24,P1019,288.53,28.85,317.38,71,Canada
2023-02-24,P1020,481.17,48.12,529.29,82,Germany
2023-02-25,P1001,270.24,27.02,297.26,84,Japan
2023-02-25,P1002,36.29,3.63,39.92,88,France
2023-02-25,P1003,388.58,38.86,427.44,62,France
2023-02-25,P1004,24.84,2.48,27.32,89,USA
2023-02-25,P1005,31.81,3.18,34.99,75,USA
2023-02-25,P1006,104.51,10.45,114.96,80,Canada
2023-02-25,P1007,176.17,17.62,193.79,88,France
2023-02-25,P1008,481.52,48.15,529.67,65,Japan
2023-02-25,P1009,448.14,44.81,492.95,98,Australia
2023-02-25,P1010,147.75,14.78,162.53,63,France
2023-02-25,P1011,414.67,41.47,456.14,82,France
2023-02-25,P1012,126.9,12.69,139.59,94,France
2023-02-25,P1013,278.75,27.88,306.63,72,France
2023-02-25,P1014,68.76,6.88,75.64,84,Australia
2023-02-25,P1015,371.42,37.14,408.56,71,France
2023-02-25,P1016,445.71,44.57,490.28,51,Japan
2023-02-25,P1017,24.5,2.45,26.95,67,France
2023-02-25,P1018,344.76,34.48,379.24,63,Canada
2023-02-25,P1019,83.47,8.35,91.82,84,Australia
2023-02-25,P1020,362.35,36.24,398.59,97,UK
2023-02-26,P1001,296.48,29.65,326.13,81,France
2023-02-26,P1002,304.23,30.42,334.65,98,France
2023-02-26,P1003,364.46,36.45,400.91,53,Japan
2023-02-26,P1004,137.26,13.73,150.99,76,UK
2023-02-26,P1005,134.42,13.44,147.86,82,Australia
2023-02-26,P1006,376.84,37.68,414.52,82,Canada
2023-02-26,P1007,22.93,2.29,25.22,94,Japan
2023-02-26,P1008,440.03,44.0,484.03,59,Japan
2023-02-26,P1009,18.34,1.83,20.17,93,Australia
2023-02-26,P1010,489.61,48.96,538.57,57,Japan
2023-02-26,P1011,88.88,8.89,97.77,88,Australia
2023-02-26,P1012,279.75,27.98,307.73,61,Japan
2023-02-26,P1013,313.69,31.37,345.06,61,USA
2023-02-26,P1014,58.43,5.84,64.27,53,Australia
2023-02-26,P1015,94.71,9.47,104.18,52,Canada
2023-02-26,P1016,255.38,25.54,280.92,66,UK
2023-02-26,P1017,215.64,21.56,237.2,78,Japan
2023-02-26,P1018,473.25,47.33,520.58,63,USA
2023-02-26,P1019,184.12,18.41,202.53,94,Germany
2023-02-26,P1020,157.28,15.73,173.01,54,USA
2023-02-27,P1001,69.36,6.94,76.3,56,Germany
2023-02-27,P1002,469.47,46.95,516.42,56,USA
2023-02-27,P1003,18.6,1.86,20.46,55,Australia
2023-02-27,P1004,140.37,14.04,154.41,66,Canada
2023-02-27,P1005,227.12,22.71,249.83,77,Germany
2023-02-27,P1006,322.15,32.21,354.36,83,Canada
2023-02-27,P1007,168.7,16.87,185.57,98,UK
2023-02-27,P1008,270.76,27.08,297.84,93,Japan
2023-02-27,P1009,435.67,43.57,479.24,84,Japan
2023-02-27,P1010,338.01,33.8,371.81,76,Germany
2023-02-27,P1011,58.08,5.81,63.89,75,France
2023-02-27,P1012,479.46,47.95,527.41,54,Australia
2023-02-27,P1013,147.72,14.77,162.49,83,Canada
2023-02-27,P1014,474.37,47.44,521.81,98,USA
2023-02-27,P1015,236.2,23.62,259.82,78,USA
2023-02-27,P1016,220.57,22.06,242.63,52,USA
2023-02-27,P1017,84.63,8.46,93.09,79,Australia
2023-02-27,P1018,241.42,24.14,265.56,69,Australia
2023-02-27,P1019,207.71,20.77,228.48,65,Germany
2023-02-27,P1020,167.29,16.73,184.02,52,USA
2023-02-28,P1001,480.23,48.02,528.25,85,Canada
2023-02-28,P1002,320.93,32.09,353.02,80,Japan
2023-02-28,P1003,248.12,24.81,272.93,91,Germany
2023-02-28,P1004,346.9,34.69,381.59,65,Canada
2023-02-28,P1005,280.91,28.09,309.0,65,Australia
2023-02-28,P1006,203.3,20.33,223.63,92,UK
2023-02-28,P1007,332.17,33.22,365.39,84,USA
2023-02-28,P1008,491.7,49.17,540.87,92,Canada
2023-02-28,P1009,428.19,42.82,471.01,61,UK
2023-02-28,P1010,380.99,38.1,419.09,92,Germany
2023-02-28,P1011,267.9,26.79,294.69,51,UK
2023-02-28,P1012,17.19,1.72,18.91,78,Japan
2023-02-28,P1013,430.65,43.06,473.71,99,France
2023-02-28,P1014,12.2,1.22,13.42,74,France
2023-02-28,P1015,477.92,47.79,525.71,93,Japan
2023-02-28,P1016,154.21,15.42,169.63,79,Canada
2023-02-28,P1017,122.31,12.23,134.54,65,Canada
2023-02-28,P1018,116.41,11.64,128.05,87,Australia
2023-02-28,P1019,442.47,44.25,486.72,91,UK
2023-02-28,P1020,204.89,20.49,225.38,57,Japan
2023-03-01,P1001,374.24,37.42,411.66,80,Canada
2023-03-01,P1002,405.41,40.54,445.95,95,Australia
2023-03-01,P1003,471.99,47.2,519.19,95,Canada
2023-03-01,P1004,403.05,40.31,443.36,77,UK
2023-03-01,P1005,179.42,17.94,197.36,79,UK
2023-03-01,P1006,135.9,13.59,149.49,69,Japan
2023-03-01,P1007,57.43,5.74,63.17,79,Australia
2023-03-01,P1008,153.51,15.35,168.86,75,USA
2023-03-01,P1009,385.34,38.53,423.87,66,France
2023-03-01,P1010,386.26,38.63,424.89,89,Japan
2023-03-01,P1011,320.06,32.01,352.07,87,Germany
2023-03-01,P1012,388.93,38.89,427.82,82,Canada
2023-03-01,P1013,345.9,34.59,380.49,90,USA
2023-03-01,P1014,432.46,43.25,475.71,53,Australia
2023-03-01,P1015,66.42,6.64,73.06,90,UK
2023-03-01,P1016,151.81,15.18,166.99,53,Germany
2023-03-01,P1017,83.21,8.32,91.53,62,USA
2023-03-01,P1018,456.25,45.62,501.87,50,Japan
2023-03-01,P1019,19.35,1.94,21.29,73,Germany
2023-03-01,P1020,309.63,30.96,340.59,63,USA
2023-03-02,P1001,410.45,41.05,451.5,67,Germany
2023-03-02,P1002,45.15,4.51,49.66,74,UK
2023-03-02,P1003,17.92,1.79,19.71,88,Canada
2023-03-02,P1004,424.75,42.48,467.23,55,USA
2023-03-02,P1005,389.65,38.97,428.62,54,Japan
2023-03-02,P1006,333.79,33.38,367.17,64,Canada
2023-03-02,P1007,318.12,31.81,349.93,78,UK
2023-03-02,P1008,287.34,28.73,316.07,67,Germany
2023-03-02,P1009,399.67,39.97,439.64,78,Japan
2023-03-02,P1010,296.3,29.63,325.93,92,USA
2023-03-02,P1011,67.17,6.72,73.89,73,France
2023-03-02,P1012,489.28,48.93,538.21,67,Japan
2023-03-02,P1013,443.56,44.36,487.92,82,USA
2023-03-02,P1014,466.02,46.6,512.62,60,Japan
2023-03-02,P1015,163.16,16.32,179.48,89,Australia
2023-03-02,P1016,134.39,13.44,147.83,59,Germany
2023-03-02,P1017,197.17,19.72,216.89,67,France
2023-03-02,P1018,185.12,18.51,203.63,55,Canada
2023-03-02,P1019,230.94,23.09,254.03,86,France
2023-03-02,P1020,341.37,34.14,375.51,61,Australia
2023-03-03,P1001,213.54,21.35,234.89,95,Germany
2023-03-03,P1002,395.86,39.59,435.45,51,France
2023-03-03,P1003,483.45,48.34,531.79,92,UK
2023-03-03,P1004,414.95,41.5,456.45,92,France
2023-03-03,P1005,200.54,20.05,220.59,89,Australia
2023-03-03,P1006,308.48,30.85,339.33,90,France
2023-03-03,P1007,251.86,25.19,277.05,93,France
2023-03-03,P1008,205.41,20.54,225.95,94,Australia
2023-03-03,P1009,112.96,11.3,124.26,74,France
2023-03-03,P1010,375.42,37.54,412.96,63,Germany
2023-03-03,P1011,422.81,42.28,465.09,79,France
2023-03-03,P1012,344.55,34.46,379.01,91,UK
2023-03-03,P1013,469.95,47.0,516.95,61,Australia
2023-03-03,P1014,83.54,8.35,91.89,71,France
2023-03-03,P1015,87.45,8.75,96.2,57,USA
2023-03-03,P1016,371.82,37.18,409.0,72,Japan
2023-03-03,P1017,491.57,49.16,540.73,56,USA
2023-03-03,P1018,76.78,7.68,84.46,72,Canada
2023-03-03,P1019,305.02,30.5,335.52,61,Germany
2023-03-03,P1020,277.47,27.75,305.22,79,Australia
2023-03-04,P1001,73.29,7.33,80.62,97,Germany
2023-03-04,P1002,85.52,8.55,94.07,90,Germany
2023-03-04,P1003,300.54,30.05,330.59,93,Germany
2023-03-04,P1004,123.97,12.4,136.37,68,Japan
2023-03-04,P1005,246.21,24.62,270.83,95,USA
2023-03-04,P1006,415.85,41.59,457.44,98,USA
2023-03-04,P1007,91.58,9.16,100.74,66,Australia
2023-03-04,P1008,413.81,41.38,455.19,70,Australia
2023-03-04,P1009,237.81,23.78,261.59,93,France
2023-03-04,P1010,100.54,10.05,110.59,65,Canada
2023-03-04,P1011,48.71,4.87,53.58,90,Germany
2023-03-04,P1012,239.43,23.94,263.37,69,France
2023-03-04,P1013,67.24,6.72,73.96,60,Canada
2023-03-04,P1014,333.3,33.33,366.63,96,Australia
2023-03-04,P1015,268.62,26.86,295.48,90,Canada
2023-03-04,P1016,88.85,8.88,97.73,89,Germany
2023-03-04,P1017,499.24,49.92,549.16,67,Australia
2023-03-04,P1018,161.5,16.15,177.65,80,UK
2023-03-04,P1019,236.26,23.63,259.89,83,Germany
2023-03-04,P1020,464.13,46.41,510.54,84,USA
2023-03-05,P1001,54.66,5.47,60.13,90,UK
2023-03-05,P1002,453.1,45.31,498.41,71,France
2023-03-05,P1003,25.17,2.52,27.69,91,Japan
2023-03-05,P1004,164.44,16.44,180.88,78,Canada
2023-03-05,P1005,485.87,48.59,534.46,72,Germany
2023-03-05,P1006,188.69,18.87,207.56,64,Australia
2023-03-05,P1007,302.48,30.25,332.73,96,Japan
2023-03-05,P1008,76.2,7.62,83.82,78,Japan
2023-03-05,P1009,28.15,2.81,30.96,87,Japan
2023-03-05,P1010,387.86,38.79,426.65,83,France
2023-03-05,P1011,65.13,6.51,71.64,57,UK
2023-03-05,P1012,494.71,49.47,544.18,67,Japan
2023-03-05,P1013,190.89,19.09,209.98,83,Canada
2023-03-05,P1014,114.79,11.48,126.27,69,Australia
2023-03-05,P1015,367.39,36.74,404.13,54,UK
2023-03-05,P1016,248.94,24.89,273.83,90,USA
2023-03-05,P1017,32.27,3.23,35.5,74,France
2023-03-05,P1018,159.79,15.98,175.77,91,Japan
2023-03-05,P1019,20.79,2.08,22.87,89,USA
2023-03-05,P1020,232.12,23.21,255.33,68,Germany
2023-03-06,P1001,146.45,14.64,161.09,74,USA
2023-03-06,P1002,101.29,10.13,111.42,86,UK
2023-03-06,P1003,400.66,40.07,440.73,81,UK
2023-03-06,P1004,483.04,48.3,531.34,64,Germany
2023-03-06,P1005,84.88,8.49,93.37,88,Canada
2023-03-06,P1006,170.43,17.04,187.47,84,Canada
2023-03-06,P1007,174.3,17.43,191.73,56,Germany
2023-03-06,P1008,202.42,20.24,222.66,77,France
2023-03-06,P1009,70.28,7.03,77.31,75,USA
2023-03-06,P1010,253.71,25.37,279.08,51,USA
2023-03-06,P1011,442.31,44.23,486.54,96,Germany
2023-03-06,P1012,385.95,38.59,424.54,92,Germany
2023-03-06,P1013,30.07,3.01,33.08,57,Australia
2023-03-06,P1014,425.49,42.55,468.04,73,USA
2023-03-06,P1015,373.53,37.35,410.88,72,Canada
2023-03-06,P1016,284.26,28.43,312.69,98,USA
2023-03-06,P1017,162.09,16.21,178.3,83,Japan
2023-03-06,P1018,157.87,15.79,173.66,58,USA
2023-03-06,P1019,234.27,23.43,257.7,54,Japan
2023-03-06,P1020,353.74,35.37,389.11,57,Canada
2023-03-07,P1001,359.95,35.99,395.94,55,Australia
2023-03-07,P1002,93.7,9.37,103.07,92,Canada
2023-03-07,P1003,256.65,25.66,282.31,55,Australia
2023-03-07,P1004,180.83,18.08,198.91,92,USA
2023-03-07,P1005,421.87,42.19,464.06,77,Japan
2023-03-07,P1006,475.46,47.55,523.01,74,Japan
2023-03-07,P1007,352.02,35.2,387.22,96,USA
2023-03-07,P1008,161.43,16.14,177.57,96,Germany
2023-03-07,P1009,189.08,18.91,207.99,58,Germany
2023-03-07,P1010,144.56,14.46,159.02,64,France
2023-03-07,P1011,397.48,39.75,437.23,67,Germany
2023-03-07,P1012,172.11,17.21,189.32,74,Germany
2023-03-07,P1013,129.53,12.95,142.48,62,France
2023-03-07,P1014,178.1,17.81,195.91,94,USA
2023-03-07,P1015,28.14,2.81,30.95,83,Australia
2023-03-07,P1016,293.44,29.34,322.78,89,USA
2023-03-07,P1017,320.11,32.01,352.12,86,Japan
2023-03-07,P1018,455.7,45.57,501.27,84,Australia
2023-03-07,P1019,43.2,4.32,47.52,75,USA
2023-03-07,P1020,485.1,48.51,533.61,59,Canada
2023-03-08,P1001,182.38,18.24,200.62,66,UK
2023-03-08,P1002,149.27,14.93,164.2,57,Canada
2023-03-08,P1003,465.93,46.59,512.52,95,Australia
2023-03-08,P1004,420.8,42.08,462.88,54,UK
2023-03-08,P1005,460.83,46.08,506.91,99,Japan
2023-03-08,P1006,30.3,3.03,33.33,77,Australia
2023-03-08,P1007,243.04,24.3,267.34,81,France
2023-03-08,P1008,221.99,22.2,244.19,97,Australia
2023-03-08,P1009,329.49,32.95,362.44,68,France
2023-03-08,P1010,49.91,4.99,54.9,79,UK
2023-03-08,P1011,298.44,29.84,328.28,67,USA
2023-03-08,P1012,294.7,29.47,324.17,53,UK
2023-03-08,P1013,443.7,44.37,488.07,74,Canada
2023-03-08,P1014,93.27,9.33,102.6,51,UK
2023-03-08,P1015,313.31,31.33,344.64,93,Australia
2023-03-08,P1016,64.55,6.46,71.01,87,Germany
2023-03-08,P1017,133.95,13.39,147.34,86,USA
2023-03-08,P1018,120.84,12.08,132.92,50,USA
2023-03-08,P1019,127.87,12.79,140.66,54,USA
2023-03-08,P1020,494.99,49.5,544.49,70,France
2023-03-09,P1001,427.43,42.74,470.17,64,Japan
2023-03-09,P1002,415.07,41.51,456.58,62,Australia
2023-03-09,P1003,382.17,38.22,420.39,80,France
2023-03-09,P1004,234.71,23.47,258.18,55,UK
2023-03-09,P1005,98.43,9.84,108.27,71,France
2023-03-09,P1006,288.02,28.8,316.82,63,Germany
2023-03-09,P1007,50.07,5.01,55.08,79,Canada
2023-03-09,P1008,479.89,47.99,527.88,86,France
2023-03-09,P1009,222.17,22.22,244.39,99,France
2023-03-09,P1010,335.61,33.56,369.17,96,Germany
2023-03-09,P1011,205.3,20.53,225.83,53,Australia
2023-03-09,P1012,21.47,2.15,23.62,88,Japan
2023-03-09,P1013,223.12,22.31,245.43,91,France
2023-03-09,P1014,470.67,47.07,517.74,87,UK
2023-03-09,P1015,28.71,2.87,31.58,96,Germany
2023-03-09,P1016,85.64,8.56,94.2,78,France
2023-03-09,P1017,182.01,18.2,200.21,83,Canada
2023-03-09,P1018,188.87,18.89,207.76,89,USA
2023-03-09,P1019,55.89,5.59,61.48,57,Germany
2023-03-09,P1020,241.03,24.1,265.13,91,France
2023-03-10,P1001,231.73,23.17,254.9,60,France
2023-03-10,P1002,22.22,2.22,24.44,82,USA
2023-03-10,P1003,347.56,34.76,382.32,69,USA
2023-03-10,P1004,352.33,35.23,387.56,96,France
2023-03-10,P1005,22.61,2.26,24.87,86,France
2023-03-10,P1006,284.58,28.46,313.04,65,Australia
2023-03-10,P1007,242.85,24.29,267.14,95,France
2023-03-10,P1008,441.04,44.1,485.14,57,Japan
2023-03-10,P1009,85.03,8.5,93.53,55,France
2023-03-10,P1010,408.64,40.86,449.5,55,Canada
2023-03-10,P1011,212.84,21.28,234.12,50,Canada
2023-03-10,P1012,391.51,39.15,430.66,52,USA
2023-03-10,P1013,410.04,41.0,451.04,75,UK
2023-03-10,P1014,48.3,4.83,53.13,67,USA
2023-03-10,P1015,48.1,4.81,52.91,99,Australia
2023-03-10,P1016,204.42,20.44,224.86,62,Japan
2023-03-10,P1017,386.44,38.64,425.08,83,Japan
2023-03-10,P1018,55.72,5.57,61.29,87,Japan
2023-03-10,P1019,18.96,1.9,20.86,66,Germany
2023-03-10,P1020,188.21,18.82,207.03,73,UK
2023-03-11,P1001,245.0,24.5,269.5,59,UK
2023-03-11,P1002,15.06,1.51,16.57,89,UK
2023-03-11,P1003,97.26,9.73,106.99,92,Japan
2023-03-11,P1004,367.6,36.76,404.36,77,USA
2023-03-11,P1005,50.43,5.04,55.47,72,Australia
2023-03-11,P1006,209.22,20.92,230.14,72,USA
2023-03-11,P1007,304.57,30.46,335.03,64,UK
2023-03-11,P1008,158.08,15.81,173.89,92,France
2023-03-11,P1009,293.15,29.31,322.46,88,France
2023-03-11,P1010,145.37,14.54,159.91,76,USA
2023-03-11,P1011,145.07,14.51,159.58,68,Australia
2023-03-11,P1012,135.39,13.54,148.93,53,UK
2023-03-11,P1013,149.57,14.96,164.53,70,USA
2023-03-11,P1014,369.45,36.95,406.4,60,Germany
2023-03-11,P1015,208.76,20.88,229.64,50,Japan
2023-03-11,P1016,375.78,37.58,413.36,75,Germany
2023-03-11,P1017,186.52,18.65,205.17,95,Australia
2023-03-11,P1018,370.77,37.08,407.85,74,Australia
2023-03-11,P1019,393.92,39.39,433.31,52,USA
2023-03-11,P1020,394.2,39.42,433.62,95,France
2023-03-12,P1001,27.42,2.74,30.16,64,France
2023-03-12,P1002,243.62,24.36,267.98,59,France
2023-03-12,P1003,459.38,45.94,505.32,66,USA
2023-03-12,P1004,414.9,41.49,456.39,66,Germany
2023-03-12,P1005,420.42,42.04,462.46,52,USA
2023-03-12,P1006,287.44,28.74,316.18,71,France
2023-03-12,P1007,419.87,41.99,461.86,99,Japan
2023-03-12,P1008,177.55,17.76,195.31,81,UK
2023-03-12,P1009,37.12,3.71,40.83,61,UK
2023-03-12,P1010,462.44,46.24,508.68,62,France
2023-03-12,P1011,423.61,42.36,465.97,85,Germany
2023-03-12,P1012,335.69,33.57,369.26,81,Germany
2023-03-12,P1013,403.07,40.31,443.38,58,Canada
2023-03-12,P1014,396.62,39.66,436.28,76,Australia
2023-03-12,P1015,205.77,20.58,226.35,86,USA
2023-03-12,P1016,115.04,11.5,126.54,63,Germany
2023-03-12,P1017,131.76,13.18,144.94,90,Canada
2023-03-12,P1018,210.02,21.0,231.02,50,Canada
2023-03-12,P1019,268.76,26.88,295.64,53,Australia
2023-03-12,P1020,158.05,15.81,173.86,68,Australia
2023-03-13,P1001,377.43,37.74,415.17,88,France
2023-03-13,P1002,436.94,43.69,480.63,94,UK
2023-03-13,P1003,98.61,9.86,108.47,65,Japan
2023-03-13,P1004,301.84,30.18,332.02,50,Australia
2023-03-13,P1005,144.16,14.42,158.58,95,Germany
2023-03-13,P1006,89.86,8.99,98.85,88,France
2023-03-13,P1007,397.84,39.78,437.62,56,USA
2023-03-13,P1008,489.53,48.95,538.48,82,USA
2023-03-13,P1009,444.71,44.47,489.18,82,Canada
2023-03-13,P1010,187.55,18.76,206.31,71,UK
2023-03-13,P1011,176.36,17.64,194.0,71,UK
2023-03-13,P1012,207.04,20.7,227.74,87,Japan
2023-03-13,P1013,338.65,33.87,372.52,77,UK
2023-03-13,P1014,484.71,48.47,533.18,70,France
2023-03-13,P1015,49.53,4.95,54.48,54,USA
2023-03-13,P1016,89.46,8.95,98.41,51,Germany
2023-03-13,P1017,272.54,27.25,299.79,83,France
2023-03-13,P1018,398.41,39.84,438.25,55,Canada
2023-03-13,P1019,48.58,4.86,53.44,58,Canada
2023-03-13,P1020,179.58,17.96,197.54,82,UK
2023-03-14,P1001,313.24,31.32,344.56,66,UK
2023-03-14,P1002,202.76,20.28,223.04,95,France
2023-03-14,P1003,421.53,42.15,463.68,75,USA
2023-03-14,P1004,243.68,24.37,268.05,80,UK
2023-03-14,P1005,89.0,8.9,97.9,71,Canada
2023-03-14,P1006,201.64,20.16,221.8,53,Canada
2023-03-14,P1007,53.91,5.39,59.3,56,Australia
2023-03-14,P1008,289.87,28.99,318.86,73,Australia
2023-03-14,P1009,380.93,38.09,419.02,60,Japan
2023-03-14,P1010,95.3,9.53,104.83,91,Australia
2023-03-14,P1011,94.81,9.48,104.29,60,Australia
2023-03-14,P1012,232.81,23.28,256.09,69,Japan
2023-03-14,P1013,144.18,14.42,158.6,51,Germany
2023-03-14,P1014,10.87,1.09,11.96,94,France
2023-03-14,P1015,170.83,17.08,187.91,58,UK
2023-03-14,P1016,441.11,44.11,485.22,90,Australia
2023-03-14,P1017,301.66,30.17,331.83,75,France
2023-03-14,P1018,242.95,24.3,267.25,98,Australia
2023-03-14,P1019,383.58,38.36,421.94,93,France
2023-03-14,P1020,335.18,33.52,368.7,64,Japan
2023-03-15,P1001,320.7,32.07,352.77,81,Japan
2023-03-15,P1002,304.92,30.49,335.41,52,USA
2023-03-15,P1003,200.17,20.02,220.19,78,UK
2023-03-15,P1004,443.59,44.36,487.95,88,Australia
2023-03-15,P1005,216.89,21.69,238.58,64,USA
2023-03-15,P1006,310.73,31.07,341.8,66,UK
2023-03-15,P1007,222.81,22.28,245.09,50,Australia
2023-03-15,P1008,28.05,2.81,30.86,50,USA
2023-03-15,P1009,286.69,28.67,315.36,54,France
2023-03-15,P1010,190.19,19.02,209.21,80,Germany
2023-03-15,P1011,42.94,4.29,47.23,92,France
2023-03-15,P1012,215.93,21.59,237.52,65,Australia
2023-03-15,P1013,146.01,14.6,160.61,78,Germany
2023-03-15,P1014,464.82,46.48,511.3,95,Australia
2023-03-15,P1015,367.22,36.72,403.94,77,UK
2023-03-15,P1016,207.15,20.72,227.87,57,USA
2023-03-15,P1017,265.94,26.59,292.53,68,Japan
2023-03-15,P1018,499.72,49.97,549.69,51,UK
2023-03-15,P1019,52.71,5.27,57.98,65,Canada
2023-03-15,P1020,265.63,26.56,292.19,82,France
2023-03-16,P1001,106.27,10.63,116.9,56,Japan
2023-03-16,P1002,453.43,45.34,498.77,83,UK
2023-03-16,P1003,243.54,24.35,267.89,96,UK
2023-03-16,P1004,297.32,29.73,327.05,96,Canada
2023-03-16,P1005,281.66,28.17,309.83,55,Australia
2023-03-16,P1006,432.12,43.21,475.33,95,France
2023-03-16,P1007,164.98,16.5,181.48,79,Australia
2023-03-16,P1008,107.84,10.78,118.62,59,France
2023-03-16,P1009,299.38,29.94,329.32,61,Japan
2023-03-16,P1010,493.67,49.37,543.04,87,USA
2023-03-16,P1011,478.33,47.83,526.16,84,Japan
2023-03-16,P1012,375.26,37.53,412.79,63,Canada
2023-03-16,P1013,272.22,27.22,299.44,59,Japan
2023-03-16,P1014,290.66,29.07,319.73,98,Japan
2023-03-16,P1015,317.68,31.77,349.45,51,Canada
2023-03-16,P1016,327.72,32.77,360.49,59,Canada
2023-03-16,P1017,10.85,1.08,11.93,53,Canada
2023-03-16,P1018,188.19,18.82,207.01,70,USA
2023-03-16,P1019,197.66,19.77,217.43,70,Australia
2023-03-16,P1020,305.38,30.54,335.92,62,UK
2023-03-17,P1001,31.13,3.11,34.24,72,Japan
2023-03-17,P1002,10.96,1.1,12.06,68,UK
2023-03-17,P1003,408.94,40.89,449.83,50,Germany
2023-03-17,P1004,182.24,18.22,200.46,72,France
2023-03-17,P1005,463.01,46.3,509.31,82,Germany
2023-03-17,P1006,329.6,32.96,362.56,78,USA
2023-03-17,P1007,57.98,5.8,63.78,64,Germany
2023-03-17,P1008,462.38,46.24,508.62,54,Canada
2023-03-17,P1009,112.33,11.23,123.56,76,Germany
2023-03-17,P1010,386.5,38.65,425.15,87,USA
2023-03-17,P1011,284.01,28.4,312.41,88,Germany
2023-03-17,P1012,426.81,42.68,469.49,99,Australia
2023-03-17,P1013,490.04,49.0,539.04,86,France
2023-03-17,P1014,247.05,24.71,271.76,68,France
2023-03-17,P1015,14.99,1.5,16.49,99,Japan
2023-03-17,P1016,207.56,20.76,228.32,66,USA
2023-03-17,P1017,391.4,39.14,430.54,84,Canada
2023-03-17,P1018,494.12,49.41,543.53,79,Australia
2023-03-17,P1019,168.1,16.81,184.91,96,USA
2023-03-17,P1020,202.22,20.22,222.44,59,Germany
2023-03-18,P1001,190.0,19.0,209.0,54,UK
2023-03-18,P1002,413.09,41.31,454.4,89,Germany
2023-03-18,P1003,338.42,33.84,372.26,57,USA
2023-03-18,P1004,56.74,5.67,62.41,77,USA
2023-03-18,P1005,200.9,20.09,220.99,58,France
2023-03-18,P1006,165.0,16.5,181.5,88,Germany
2023-03-18,P1007,478.81,47.88,526.69,62,USA
2023-03-18,P1008,277.2,27.72,304.92,95,USA
2023-03-18,P1009,337.1,33.71,370.81,67,France
2023-03-18,P1010,152.08,15.21,167.29,61,France
2023-03-18,P1011,424.53,42.45,466.98,96,France
2023-03-18,P1012,297.71,29.77,327.48,68,Canada
2023-03-18,P1013,211.06,21.11,232.17,75,France
2023-03-18,P1014,38.07,3.81,41.88,72,Canada
2023-03-18,P1015,162.17,16.22,178.39,85,USA
2023-03-18,P1016,328.96,32.9,361.86,85,Australia
2023-03-18,P1017,474.92,47.49,522.41,80,Germany
2023-03-18,P1018,29.88,2.99,32.87,76,USA
2023-03-18,P1019,164.22,16.42,180.64,87,Germany
2023-03-18,P1020,275.83,27.58,303.41,81,Japan
2023-03-19,P1001,328.14,32.81,360.95,61,France
2023-03-19,P1002,258.89,25.89,284.78,85,UK
2023-03-19,P1003,365.56,36.56,402.12,75,Japan
2023-03-19,P1004,332.53,33.25,365.78,50,USA
2023-03-19,P1005,414.63,41.46,456.09,91,USA
2023-03-19,P1006,81.94,8.19,90.13,85,Australia
2023-03-19,P1007,188.78,18.88,207.66,75,France
2023-03-19,P1008,480.32,48.03,528.35,58,Japan
2023-03-19,P1009,49.99,5.0,54.99,65,France
2023-03-19,P1010,135.8,13.58,149.38,61,UK
2023-03-19,P1011,407.57,40.76,448.33,50,Australia
2023-03-19,P1012,253.03,25.3,278.33,63,Japan
2023-03-19,P1013,253.84,25.38,279.22,74,Australia
2023-03-19,P1014,158.19,15.82,174.01,55,UK
2023-03-19,P1015,224.18,22.42,246.6,78,Germany
2023-03-19,P1016,20.04,2.0,22.04,55,UK
2023-03-19,P1017,101.13,10.11,111.24,82,France
2023-03-19,P1018,21.33,2.13,23.46,97,Germany
2023-03-19,P1019,162.62,16.26,178.88,81,Australia
2023-03-19,P1020,455.77,45.58,501.35,53,Germany
2023-03-20,P1001,151.38,15.14,166.52,59,Australia
2023-03-20,P1002,353.05,35.3,388.35,90,Canada
2023-03-20,P1003,20.52,2.05,22.57,75,Germany
2023-03-20,P1004,176.79,17.68,194.47,64,France
2023-03-20,P1005,402.61,40.26,442.87,56,Australia
2023-03-20,P1006,179.81,17.98,197.79,89,Australia
2023-03-20,P1007,346.03,34.6,380.63,79,Germany
2023-03-20,P1008,432.48,43.25,475.73,68,Germany
2023-03-20,P1009,164.79,16.48,181.27,57,France
2023-03-20,P1010,174.48,17.45,191.93,69,Australia
2023-03-20,P1011,151.02,15.1,166.12,93,Canada
2023-03-20,P1012,157.36,15.74,173.1,64,France
2023-03-20,P1013,120.45,12.05,132.5,91,Japan
2023-03-20,P1014,11.36,1.14,12.5,99,USA
2023-03-20,P1015,120.58,12.06,132.64,74,UK
2023-03-20,P1016,90.98,9.1,100.08,69,UK
2023-03-20,P1017,479.71,47.97,527.68,88,USA
2023-03-20,P1018,176.65,17.67,194.32,83,France
2023-03-20,P1019,346.36,34.64,381.0,83,UK
2023-03-20,P1020,246.91,24.69,271.6,63,Germany
2023-03-21,P1001,396.61,39.66,436.27,50,Germany
2023-03-21,P1002,267.79,26.78,294.57,96,USA
2023-03-21,P1003,478.05,47.81,525.86,53,Germany
